id,country,city,individual_agency,family_obligation,community_orientation,openness_to_change,intercultural_contact
VALC0001,Serbia,Niš,4,4,5,3,1
VALC0002,Serbia,Niš,4,4,3,4,4
VALC0003,Kosovo,Prizren,3,4,2,2,2
VALC0004,Slovenia,Ljubljana,3,3,5,4,5
VALC0005,North Macedonia,Skopje,4,3,4,3,3
VALC0006,Bosnia and Herzegovina,Banja Luka,3,4,3,3,3
VALC0007,North Macedonia,Bitola,3,3,4,2,2
VALC0008,Slovenia,Maribor,5,5,2,5,3
VALC0009,North Macedonia,Skopje,4,3,3,4,2
VALC0010,Croatia,Zagreb,5,4,4,3,4
VALC0011,Croatia,Split,3,2,2,3,2
VALC0012,Albania,Tirana,3,4,3,3,3
VALC0013,Montenegro,Podgorica,3,4,4,3,4
VALC0014,Serbia,Novi Sad,3,3,3,5,3
VALC0015,North Macedonia,Skopje,5,5,3,3,3
VALC0016,Kosovo,Peja,3,4,4,3,2
VALC0017,Slovenia,Koper,4,3,3,4,3
VALC0018,Slovenia,Maribor,5,2,3,4,1
VALC0019,Montenegro,Podgorica,3,4,2,3,3
VALC0020,Montenegro,Podgorica,3,2,2,3,2
VALC0021,Kosovo,Prizren,3,4,4,3,3
VALC0022,Serbia,Novi Sad,4,3,3,2,5
VALC0023,Croatia,Zagreb,2,3,4,2,3
VALC0024,Montenegro,Podgorica,5,4,2,3,3
VALC0025,North Macedonia,Ohrid,4,5,4,4,2
VALC0026,Albania,Durrës,3,3,3,3,3
VALC0027,Bosnia and Herzegovina,Sarajevo,4,2,4,4,3
VALC0028,Albania,Durrës,2,3,5,3,3
VALC0029,Slovenia,Maribor,3,4,4,2,4
VALC0030,Croatia,Split,3,5,4,3,4
VALC0031,North Macedonia,Skopje,3,4,3,4,4
VALC0032,Kosovo,Prizren,4,3,3,2,1
VALC0033,Montenegro,Podgorica,3,5,4,4,3
VALC0034,Albania,Tirana,3,4,3,4,3
VALC0035,Montenegro,Cetinje,4,4,4,3,5
VALC0036,Serbia,Belgrade,3,4,3,3,3
VALC0037,Bosnia and Herzegovina,Sarajevo,2,2,3,3,3
VALC0038,North Macedonia,Bitola,3,4,4,3,3
VALC0039,North Macedonia,Skopje,4,2,4,3,4
VALC0040,Croatia,Split,4,3,4,3,3
VALC0041,Kosovo,Prizren,3,5,4,4,4
VALC0042,Slovenia,Koper,4,5,2,4,3
